branchNum,branchId,branchName,securitiesCompany,contactor,branchArea,address,postCode,telephone,transIP,transPort,transIPbak,transPortbak,syncFlag,memo,ThirdSystemId,occurTime,optId
1,2301,根网直报,720900,,,,,,,,,,1,,2301,20220125000000,99990
2,2901,106挡板,,,,,,,,,,,1,,2901,20220125000000,99990
3,1501,SE,720900,,,,,,,,,,1,,22,20220125000000,99990
4,2405,恒生I2,720900,,,,,,,,,,1,,2405,20220127000000,99990
5,2302,对接CTS系统,720800,,,,,,,,,,1,,2302,20220128000000,99990
6,2202,CTP_仿真,720900,,,,,,,,,,1,,2202,20220824000000,99990
7,2701,两融FIX,720900,,,,,,,,,,1,,2701,20220419000000,99990
8,2303,根网直报2gw,720900,,,,,,,,,,1,,2303,20220419000000,99990
9,2401,OTCD,720900,,,,,,,,,,1,,2401,20220419000000,99990
10,2101,东方成交流水挡板,720900,,,,,,,,,,1,,2101,20220422000000,99990
11,2406,HSUFT,720900,,,,,,,,,,1,,2406,20220424000000,99990
12,0425,测试通道,,,,,,,,,,,1,,3004,20220928000000,88wl
13,2305,对接CTS多码合一,720900,,,,,,,,,,1,,2305,20220428000000,99990
14,3001,FixOut,720900,,,,,,,,,,1,,2701,20220504000000,ylcs01
15,2306,2306-对接cts-连交易所,720900,,,,,,,,,,1,,2306,20220506000000,99990
16,2403,2403-顶点,720900,,,,,,,,,,1,,2403,20220526000000,99990
17,2702,fidessa_gw,720900,,,,,,,,,,1,,2702,20220624000000,99990
18,2501,2501-OTCD美股,720900,,,,,,,,,,1,,2501,20220624000000,99990
19,2502,2502-OTCD港股,720900,,,,,,,,,,1,,2502,20220624000000,99990
20,2503,2503-OTCD沪深港通,720900,,,,,,,,,,1,,2503,20220624000000,99990
21,2407,华泰,720900,,,,,,,,,,1,,2407,20220701000000,99990
22,2408,中金财富,720900,,,,,,,,,,1,,2408,20220701000000,99990
23,2504,2504-OTCD港股信用,720900,,,,,,,,,,1,,2504,20220706000000,99990
24,2410,华泰两融外挂,720900,,,,,,,,,,1,,2410,20220711000000,99990
25,2412,中金外挂,720900,,,,,,,,,,1,,2412,20220718000000,99990
26,2411,中金财富约券外挂,720900,,,,,,,,,,1,,2411,20220719000000,99990
27,2409,华泰约券外挂,720900,,,,,,,,,,1,,2409,20220719000000,99990
28,22,SE2,720900,,,,,,,,,,1,,22,20220721000000,99991
29,2413,海通现货,720900,,,,,,,,,,1,,2413,20220802000000,99990
30,2415,中金财富现货外挂,720900,,,,,,,,,,1,,2415,20220823000000,99990
31,2201,CTP,720900,,,,,,,,,,1,,2201,20220824000000,99990
32,24081,中金财富(五位),720900,,,,,,,,,,1,,24081,20220830000000,99990
33,789,777,,,,,,,,,,,1,,2101,20220903000000,99990
34,999000,000,,,,,,,,,,,1,,2101,20220903000000,99990
35,7432,张永吉分仓通道,721000,,,,,,,,,,1,,2301,20220908000000,99990
36,2203,对接1.94,720900,,,,,,,,,,1,,2203,20220914000000,99990
37,0926,回归测试,,,,,,,,,,,1,,1404,20220929000000,99990
38,7878,33,,,,,,,,,,,1,,2101,20220926000000,99990
39,2300,极速4.0直报,720900,,,,,,,,,,1,,2300,20220926000000,99990
40,2900,对接清算中心,720900,,,,,,,,,,1,,2900,20220928000000,99990
