exchId,exchAbbr,exchName,displaySerial,openCloseFlag,amAggBeginTime,amAggEndTime,amTradeBeginTime,amTradeEndTime,pmAggBeginTime,pmAggEndTime,pmTradeBeginTime,pmTradeEndTime,nightAggBeginTime,nightAggEndTime,nightTradeBeginTime,nightTradeEndTime,noonWriteOrderFlag,RepoAnnualDays,beginContractNum,endContractNum,tradeCurrencyId,currencyId,exchProperty,exchType,holidayId,MarketStatus
0,沪A,沪A,0,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,13:38,13:39,04:04,05:04,1,365,9999999998,9999999999,RMB,USD,0,0,00,1
1,深Ａ,深圳证券交易所,1,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,18:11,18:33,18:31,23:00,0,365,100,999999,RMB,RMB,0,0,00,0
2,沪Ｂ,上海证券交易所,2,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,365,0,1,RMB,USD,0,0,00,0
3,深Ｂ,深圳证券交易所,3,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0,70000000,RMB,HKD,0,0,00,0
4,深港通,深港通交易所,4,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,60000000,79999999,HKD,RMB,0,0,00,0
5,沪港通,沪港通交易所,5,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0000000000,9999900000,HKD,RMB,0,0,00,0
6,股转A,深圳证券交易所,6,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,18:30,1,360,0,999999,RMB,RMB,0,0,00,0
7,股转B,深圳证券交易所,7,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,18:30,1,360,0,999999,RMB,USD,0,0,00,0
8,银行间,银行间市场,8,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,999999,RMB,RMB,0,0,00,0
B,英国,伦敦交易所,19,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,USD,RMB,1,0,00,0
D,大连,大连商品交易所,11,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0,999999,RMB,RMB,1,0,00,0
F,中金,中国金融交易所,9,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,18:30,1,360,1999999998,7999999992,RMB,RMB,1,0,00,0
G,深股通,联交所,25,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,RMB,RMB,0,0,00,0
H,香港,香港交易所,17,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,HKD,RMB,1,0,00,0
M,广州,广州商品交易所,16,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0,999999,RMB,RMB,1,0,00,0
N,能源,能源交易中心,15,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0,999999,RMB,RMB,1,0,00,0
Q,纳斯达克,纳斯达克证券交易所,24,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,USD,RMB,0,0,00,0
S,上海,上海期货交易所,10,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,20:55,21:00,21:00,02:30,1,360,0,999999,RMB,RMB,1,0,00,0
T,沪股通,联交所,26,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,RMB,RMB,0,0,00,0
U,美国,美国交易所,18,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,USD,RMB,0,0,00,0
V,纽交所,纽约证券交易所,23,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,USD,RMB,0,0,00,0
W,芝加哥商品,芝加哥商品交易所,22,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,,,,,1,365,0,99999999,USD,RMB,1,0,00,0
X,沪权,上海个股期权市场,13,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,18:30,1,360,2,9999999994,RMB,RMB,2,0,00,0
Y,深权,深圳个股期权市场,14,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,0,99995,RMB,RMB,2,0,00,0
Z,郑州,郑州商品交易所,12,0,08:00,08:01,08:02,12:57,12:58,12:59,13:00,23:00,19:15,19:25,19:30,21:30,1,360,6000,999999,RMB,RMB,1,0,00,0
