sortSerial,paraId,paraName,dataType,maxLen,minLen,decLen,paraValue,valueScope,contents,description,optFlag
1,FundRedemption,开放式基金申赎,2,5.0,0.0,0.0,0,COMBOX,0-不处理资金股份^1-处理资金股份,"0表示申购后资金不变,股份不变;1-资金减少股份增加",1
2,HKStkValue,港股股份市值,2,5.0,0.0,0.0,0,COMBOX,0-交易币种市值^1-结算币种市值,0-表示对接系统返回是交易币种市值;1-结算币种市值,1
3,HKCostPriceCurrency,港股股份成本价,2,5.0,0.0,0.0,0,COMBOX,0-交易币种成本价^1-结算币种成本价,0-表示对接系统返回是交易币种成本价;1-结算币种成本价,1
4,HKPnlCurrency,港股股份盈亏,2,5.0,0.0,0.0,0,COMBOX,0-交易币种盈亏^1-结算币种盈亏,0-表示对接系统返回是交易币种盈亏;1-结算币种盈亏,1
5,IsTradeCreditShareFeeFlag,融券费用支付方式,2,5.0,0.0,0.0,0,COMBOX,0-实时扣减^1-清算时扣减,0表示日间交易还券时，按比例扣减融券费用;1表示日间交易还券时，不扣减融券费用，清算时扣减,1
6,PledgeReturnFlag,质押申转回报方式,2,5.0,0.0,0.0,0,COMBOX,0-不回补^1-回补,0表示回报不需要另补数据;1表示回报需要另补两条成交数据,1
7,RealtimePNLFlag,浮动盈利计入可用,2,5.0,0.0,0.0,1,COMBOX,0-不计入可用^1-计入可用,0表示盈利部分不计入可用;1表示盈利部分计入可用,1
8,FutureArbiFlag,持仓查询返套利单,2,5.0,0.0,0.0,1,COMBOX,0-返回套利持仓^1-不返回套利持仓,0-对接系统持仓查询返回包含套利持仓;1-对接系统持仓查询返回不包含套利持仓,1
9,CrossMarketHKT2CashUsedflag,沪深港T日资金是否通用,2,5.0,0.0,0.0,Y,COMBOX,Y-通用^N-不通用,Y港股T日卖出两市场通用;N港股T日卖出两市场不通用,1
10,DebtAutoPaidFlag,两融交易优先偿还负债,2,5.0,0.0,0.0,Y,COMBOX,Y-优先^N-非优先,Y-两融普通卖出优先偿还负债;N-两融普通卖出非优先偿还负债,1
12,MultiContractPayFlag,两融是否支持多笔合约还款,2,5.0,0.0,0.0,Y,COMBOX,Y-支持^N-不支持,Y-支持多笔合约明细还款;N-不支持多笔合约明细还款,1
13,ReturnCashFlag,直接还款有无流水,2,5.0,0.0,0.0,Y,COMBOX,Y-是^N-否,Y-直接还款产生资金流水;N-直接还款不产生资金流水,1
14,ReckoningRequestTimeOut,清算请求柜台超时时间,2,3.0,0.0,0.0,60,TEXT,,清算请求柜台超时时间，单位秒，默认不设置时为10，小于10按照10执行，大于180按照180执行,1
15,CreditAssureTransInFlag,担保品划入参数,2,5.0,0.0,0.0,0,COMBOX,0-不可卖^1-可卖,担保品划入参数（当天普通帐户划入信用的持仓是否可卖 0-不可卖 1-可卖，普通卖出优先于划拨）,1
16,CreditAssureTransOutFlag,担保品划出参数,2,5.0,0.0,0.0,0,COMBOX,0-不可卖^1-可卖,担保品划出参数（当天信用帐户划入普通的持仓是否可卖 0-不可卖 1-可卖）,1
17,IsBuyfrozenAssureTransTrans,买入冻结是否允许担保品划拨,2,5.0,0.0,0.0,0,COMBOX,0-不允许^1-允许,当天买入冻结是否允许担保品划拨（0-不允许，1-允许）,1
18,isAddUndueRepurchaseToStkValue,逆回购资产是否记录于市值,2,5.0,0.0,0.0,N,COMBOX,Y-计入^N-不计入,对接系统是否将逆回购资产统计在市值，Y-计入^N-不计入,1
21,HKCostPriceSyncFlag,港股通成本价同步标识,0,5.0,0.0,0.0,0,COMBOX,0-直接同步^1-同步结算币种，交易币种系统计算^2-同步交易币种，结算币种系统计算^3-均由系统计算,0-直接同步^1-同步结算币种，交易币种系统计算^2-同步交易币种，结算币种系统计算^3-均由系统计算,1
